title,released,developer,publisher,genres,rating,user score,ratings_count,platforms
NIGHTCRY,2016-03-29,"NUDE MAKER,Y.K.",ACTIVE GAMING MEDIA,ACTION ADVENTURE,RATED M FOR MATURE,8.4,5,PC
MYSTICAL NINJA STARRING GOEMON,1998-04-16,KCEO,KONAMI,OPEN-WORLD ACTION,RATED E FOR EVERYONE,8.5,48,NINTENDO 64
MYTH THE FALLEN LORDS,1997-10-31,BUNGIE,BUNGIE,REAL-TIME STRATEGY,RATED M FOR MATURE,8.4,101,PC
QUANTUM ERROR,2023-11-03,TEAMKILL MEDIA LLC,TEAMKILL MEDIA LLC,FPS,RATED M FOR MATURE,3.5,63,PLAYSTATION 5
MAFIA II DEFINITIVE EDITION,2020-05-19,HANGAR 13,2K GAMES,OPEN-WORLD ACTION,RATED M FOR MATURE,5.9,503,PLAYSTATION 4
THE RED LANTERN,2020-10-22,TIMBERLINE STUDIO,TIMBERLINE STUDIO,SURVIVAL,RATED T FOR TEEN,5.0,10,NINTENDO SWITCH
CAVEMAN WARRIORS,2017-12-05,JANDUSOFT,JANDUSOFT,2D PLATFORMER,RATED E +10 FOR EVERYONE +10,5.6,7,XBOX ONE
FINAL FANTASY V,2006-11-06,TOSE,NINTENDO,JRPG,RATED E FOR EVERYONE,8.1,84,IOS (IPHONE/IPAD)
SUNSET OVERDRIVE AND THE MYSTERY OF THE MOOIL RIG!,2014-12-23,INSOMNIAC GAMES,MICROSOFT GAME STUDIOS,THIRD PERSON SHOOTER,RATED M FOR MATURE,7.1,35,XBOX ONE
FROM DUST,2011-07-27,UBISOFT MONTPELLIER,UBISOFT,STRATEGY,RATED E +10 FOR EVERYONE +10,7.6,90,XBOX 360
KILL STRAIN,2016-07-12,SCEA SAN DIEGO STUDIOS,SONY INTERACTIVE ENTERTAINMENT,THIRD PERSON SHOOTER,RATED T FOR TEEN,7.2,31,PLAYSTATION 4
KINGDOM UNDER FIRE HEROES,2005-09-20,PHANTAGRAM,MICROSOFT GAME STUDIOS,REAL-TIME STRATEGY,RATED M FOR MATURE,6.9,18,XBOX
ALL WALLS MUST FALL,2017-08-08,INBETWEENGAMES,INBETWEENGAMES,REAL-TIME TACTICS,,0.0,0,PC
WANTED CORP,2011-12-06,EKO SOFTWARE,ZOO ENTERTAINMENT,TOP-DOWN SHOOT-'EM-UP,RATED T FOR TEEN,0.0,0,PLAYSTATION 3
MINI NINJAS ADVENTURES,2012-06-29,SIDE KICK LTD,SQUARE ENIX,ACTION,RATED E +10 FOR EVERYONE +10,8.0,0,XBOX 360
JIM HENSON'S MUPPETS PARTY CRUISE,2003-11-13,MASS MEDIA,TDK MEDIACTIVE,PARTY,RATED E FOR EVERYONE,7.8,0,PLAYSTATION 2
DRAKE OF THE 99 DRAGONS,2003-11-03,IDOL FX,MAJESCO,THIRD PERSON SHOOTER,RATED T FOR TEEN,1.8,29,PC
THE OUTLAST TRIALS,2024-03-05,RED BARRELS,RED BARRELS,SURVIVAL,,0.0,0,PC
BEFORE WE LEAVE,2021-05-13,BALANCING MONKEY GAMES,TEAM17,MANAGEMENT,,7.5,37,PC
SAYONARA UMIHARAKAWASE +,2015-04-21,STUDIO SAIZENSEN,AGATSUMA ENTERTAINMENT,2D PLATFORMER,RATED E FOR EVERYONE,8.2,13,PC
DARK VOID ZERO,2010-01-18,OTHER OCEAN INTERACTIVE,CAPCOM,2D PLATFORMER,RATED E FOR EVERYONE,5.7,7,PC
SONIC THE HEDGEHOG 2,2020-02-20,M2,SEGA,2D PLATFORMER,RATED E FOR EVERYONE,8.2,44,3DS
REIGN OF FIRE,2002-10-22,KUJU ENTERTAINMENT,BAM ENTERTAINMENT,THIRD PERSON SHOOTER,RATED M FOR MATURE,6.8,0,XBOX
INDYCAR SERIES,2003-05-21,CODEMASTERS,CODEMASTERS,AUTO RACING SIM,RATED E FOR EVERYONE,0.0,0,PC
DANCE DANCE REVOLUTION EXTREME,2004-09-21,KCET,KONAMI,DANCING,RATED E FOR EVERYONE,4.0,0,PLAYSTATION 2
THE LORD OF THE RINGS RETURN TO MORIA,2023-10-24,FREE RANGE GAMES,NORTH BEACH GAMES,SANDBOX,RATED T FOR TEEN,7.1,105,PC
GOLF TEE IT UP!,2008-07-09,HOUSEMARQUE,ACTIVISION,GOLF,RATED E FOR EVERYONE,0.0,0,XBOX 360
BROKEN SWORD SHADOW OF THE TEMPLARS,2009-03-24,REVOLUTION SOFTWARE,UBISOFT,POINT-AND-CLICK,RATED T FOR TEEN,8.9,15,IOS (IPHONE/IPAD)
MECHANIC MASTER,2008-10-21,MOST WANTED ENTERTAINMENT,MIDWAY,PUZZLE,RATED E FOR EVERYONE,0.0,0,DS
GEL SET & MATCH,2009-05-20,GASTRONAUT STUDIOS,GASTRONAUT STUDIOS,ACTION PUZZLE,RATED E FOR EVERYONE,0.0,0,XBOX 360
GROW UP,2016-08-16,UBISOFT REFLECTIONS,UBISOFT,OPEN-WORLD ACTION,RATED E FOR EVERYONE,6.6,37,PLAYSTATION 4
GOD OF WAR CHAINS OF OLYMPUS,2008-03-04,READY AT DAWN,SCEA,LINEAR ACTION ADVENTURE,RATED M FOR MATURE,8.6,1047,PSP
ALIENS VS PREDATOR REQUIEM,2007-11-13,REBELLION,SIERRA ENTERTAINMENT,ACTION ADVENTURE,RATED T FOR TEEN,8.5,80,PSP
RATCHET & CLANK,2002-11-04,INSOMNIAC GAMES,SCEA,3D PLATFORMER,RATED T FOR TEEN,8.8,520,PLAYSTATION 2
AGE OF EMPIRES MYTHOLOGIES,2008-11-24,GRIPTONITE GAMES,THQ,TURN-BASED TACTICS,RATED E +10 FOR EVERYONE +10,7.8,43,DS
REPUBLIC THE REVOLUTION,2003-08-27,ELIXIR STUDIOS,EIDOS INTERACTIVE,REAL-TIME STRATEGY,RATED T FOR TEEN,6.0,11,PC
BAFL BRAKES ARE FOR LOSERS,2018-04-19,OUDIDON,OUDIDON,AUTO RACING,RATED E FOR EVERYONE,0.0,0,NINTENDO SWITCH
GRAND PRIX CHALLENGE,2003-03-03,MELBOURNE HOUSE,INFOGRAMES,AUTO RACING SIM,RATED E FOR EVERYONE,0.0,0,PLAYSTATION 2
VANISHING POINT,2001-01-03,CLOCKWORK GAMES,ACCLAIM,AUTO RACING,RATED E FOR EVERYONE,8.2,11,DREAMCAST
GUNGRAVE,2002-09-16,RED ENTERTAINMENT,SEGA,THIRD PERSON SHOOTER,RATED M FOR MATURE,7.7,24,PLAYSTATION 2
GUILD WARS 2 END OF DRAGONS,2022-02-28,ARENANET,NCSOFT,MMORPG,RATED T FOR TEEN,7.4,120,PC
STAR WARS JEDI STARFIGHTER,2002-03-10,LUCASARTS,LUCASARTS,SPACE COMBAT SIM,RATED T FOR TEEN,8.5,23,PLAYSTATION 2
CRUSADER KINGS II THE OLD GODS,2013-05-28,PARADOX DEVELOPMENT STUDIO,PARADOX INTERACTIVE,REAL-TIME STRATEGY,,8.6,187,PC
WWE CRUSH HOUR,2003-03-17,PACIFIC COAST POWER & LIGHT,THQ,VEHICLE COMBAT SIM,RATED T FOR TEEN,0.0,0,GAMECUBE
DEAD CELLS,2018-08-07,MOTION TWIN,MOTION TWIN,METROIDVANIA,RATED T FOR TEEN,8.4,566,PC
GEMINI HEROES REBORN,2016-01-18,"PHOSPHOR GAMES STUDIO, LLC","PHOSPHOR GAMES STUDIO, LLC",LINEAR ACTION ADVENTURE,RATED T FOR TEEN,5.5,22,PC
PRO EVOLUTION SOCCER 2010,2009-11-03,KONAMI,KONAMI,SOCCER SIM,RATED E FOR EVERYONE,6.7,44,PLAYSTATION 3
HOT WHEELS UNLEASHED,2021-09-27,MILESTONE S.R.L,MILESTONE S.R.L,AUTO RACING,RATED E FOR EVERYONE,7.0,96,PLAYSTATION 5
KING'S QUEST CHAPTER 3 ONCE UPON A CLIMB,2016-04-26,THE ODD GENTLEMEN,SIERRA GAMES,ADVENTURE,RATED E +10 FOR EVERYONE +10,7.4,28,XBOX ONE
TAILS THE BACKBONE PRELUDES,2023-02-02,EGGNUT,RAW FURY,ADVENTURE,,0.0,0,PC
100 ROGUES,2010-05-04,FUSION REACTIONS,FUSION REACTIONS,RPG,,6.2,6,IOS (IPHONE/IPAD)
XBLADES,2009-02-06,GAIJIN ENTERTAINMENT,SOUTHPEAK GAMES,3D BEAT-'EM-UP,RATED M FOR MATURE,5.3,13,PLAYSTATION 3
CASTLEVANIA HARMONY OF DESPAIR,2010-08-04,KONAMI,KONAMI,ACTION ADVENTURE,RATED T FOR TEEN,7.5,36,PLAYSTATION 3
PUZZLE RESTORER,2013-02-14,,,ACTION,,0.0,0,IOS (IPHONE/IPAD)
THE SCORPION KING RISE OF THE AKKADIAN,2002-09-11,POINT OF VIEW,UNIVERSAL INTERACTIVE,3D BEAT-'EM-UP,RATED T FOR TEEN,0.0,0,GAMECUBE
STAR WARS GALAXIES AN EMPIRE DIVIDED,2003-07-09,SONY ONLINE ENTERTAINMENT,LUCASARTS,MMORPG,RATED T FOR TEEN,6.4,43,PC
GAME & WATCH GALLERY 4,2002-10-28,TOSE,NINTENDO,COMPILATION,RATED E FOR EVERYONE,7.0,0,GAME BOY ADVANCE
TCHIA,2023-03-21,AWACEB,KEPLER INTERACTIVE,OPEN-WORLD ACTION,RATED T FOR TEEN,6.7,121,PC
KATAMARI DAMACY REROLL,2018-12-07,BANDAI NAMCO GAMES,BANDAI NAMCO GAMES,ACTION ADVENTURE,RATED E FOR EVERYONE,7.9,117,NINTENDO SWITCH
SHOWTIME CHAMPIONSHIP BOXING,2007-12-13,NIKITOVA GAMES,DSI GAMES,COMBAT SPORT,RATED E +10 FOR EVERYONE +10,0.0,0,DS
THE BUREAU XCOM DECLASSIFIED,2013-08-19,2K MARIN,2K GAMES,TACTICAL THIRD PERSON SHOOTER,RATED M FOR MATURE,6.5,694,PC
THE SIMS 4 SEASONS,2018-06-22,MAXIS,ELECTRONIC ARTS,VIRTUAL LIFE,RATED T FOR TEEN,6.2,80,PC
MECHWARRIOR 5 MERCENARIES,2019-12-10,PIRANHA GAMES,PIRANHA GAMES,VEHICLE COMBAT SIM,,5.4,296,PC
THE WALKING DEAD THE TELLTALE SERIES  THE FINAL SEASON,2018-08-13,TELLTALE GAMES,TELLTALE GAMES,POINT-AND-CLICK,RATED M FOR MATURE,8.0,317,PLAYSTATION 4
MIDNIGHT CLUB 3 DUB EDITION,2005-04-11,ROCKSTAR SAN DIEGO,ROCKSTAR GAMES,AUTO RACING SIM,RATED E +10 FOR EVERYONE +10,9.2,17,XBOX
DUSTOFF Z,2020-10-15,INVICTUS,ZORDIX,HORIZONTAL SHOOT-'EM-UP,RATED T FOR TEEN,0.0,0,NINTENDO SWITCH
Q*BERT REBOOTED,2015-02-17,LOOT ENTERTAINMENT,LOOT ENTERTAINMENT,ARCADE,RATED E FOR EVERYONE,4.7,30,PC
THE LEGEND OF SPYRO THE ETERNAL NIGHT,2007-10-02,KROME STUDIOS,SIERRA ENTERTAINMENT,3D PLATFORMER,RATED E +10 FOR EVERYONE +10,6.1,61,WII
NIER AUTOMATA  GAME OF THE YORHA EDITION,2019-02-26,PLATINUMGAMES,SQUARE ENIX,ACTION RPG,RATED M FOR MATURE,8.9,876,PLAYSTATION 4
THE SUICIDE OF RACHEL FOSTER,2020-02-19,ONEOONE GAMES,DAEDALIC ENTERTAINMENT,FIRST-PERSON ADVENTURE,,7.0,95,PC
N++,2015-07-28,METANET SOFTWARE INC.,METANET SOFTWARE INC.,2D PLATFORMER,RATED E +10 FOR EVERYONE +10,6.7,69,PLAYSTATION 4
LAMULANA,2015-03-03,PYGMY STUDIO,RISING STAR GAMES,METROIDVANIA,RATED T FOR TEEN,7.8,28,WII
MRNINJA,2011-03-24,PONOS,PONOS,ACTION,,0.0,0,IOS (IPHONE/IPAD)
NAUGHTY BEAR,2010-06-25,ARTIFICIAL MIND AND MOVEMENT,505 GAMES,ACTION,RATED T FOR TEEN,4.9,39,PLAYSTATION 3
DETACHED,2018-07-24,ANSHAR STUDIOS,ANSHAR STUDIOS,SPACE COMBAT SIM,RATED T FOR TEEN,0.0,0,PC
HONEY I JOINED A CULT,2022-11-03,SOLE SURVIVOR GAMES,TEAM17,TYCOON,,6.0,0,PC
DISNEYPIXAR CARS 2,2011-06-21,AVALANCHE SOFTWARE,DISNEY INTERACTIVE STUDIOS,AUTO RACING,RATED E +10 FOR EVERYONE +10,7.6,38,XBOX 360
DILLON'S ROLLING WESTERN THE LAST RANGER,2013-04-11,VANPOOL,NINTENDO,ACTION,RATED E +10 FOR EVERYONE +10,7.0,21,3DS
SKYLANDERS BATTLECAST,2016-05-23,ACTIVISION,ACTIVISION,BOARD,,0.0,0,IOS (IPHONE/IPAD)
WANTED DEAD,2023-02-14,SOLEIL LTD.,110 INDUSTRIES,ACTION ADVENTURE,,5.6,68,XBOX SERIES X
HONEYCOMB BEAT,2007-04-02,HUDSON,HUDSON,PUZZLE,RATED E FOR EVERYONE,0.0,0,DS
MEMENTO MORI,2009-07-29,CENTAURI PRODUCTION,GOT GAME ENTERTAINMENT,FIRST-PERSON ADVENTURE,RATED M FOR MATURE,7.6,37,PC
AQUA KITTY UDX,2018-02-15,TIKIPOD LIMITED,TIKIPOD LIMITED,HORIZONTAL SHOOT-'EM-UP,RATED E FOR EVERYONE,8.0,14,XBOX ONE
DARK MESSIAH OF MIGHT AND MAGIC,2006-10-24,ARKANE STUDIOS,UBISOFT,FPS,RATED M FOR MATURE,8.6,505,PC
SPEED KINGS,2003-06-03,CLIMAX STUDIOS,ACCLAIM,AUTO RACING SIM,RATED E FOR EVERYONE,0.0,0,PLAYSTATION 2
SCREAMRIDE,2015-03-03,FRONTIER DEVELOPMENTS,MICROSOFT GAME STUDIOS,SIMULATION,RATED E +10 FOR EVERYONE +10,4.8,227,XBOX ONE
THE GREAT JITTERS PUDDING PANIC,2011-06-07,KUNST-STOFF,KUNST-STOFF,ACTION PUZZLE,,5.8,8,IOS (IPHONE/IPAD)
WINDBOUND,2020-08-28,5 LIVES STUDIOS,5 LIVES STUDIOS,SURVIVAL,,5.2,19,PC
FANTASY ZONE,2020-01-23,M2,SEGA,HORIZONTAL SHOOT-'EM-UP,RATED E FOR EVERYONE,8.2,12,3DS
DEAR ESTHER LANDMARK EDITION,2016-09-20,THE CHINESE ROOM,CURVE DIGITAL,FIRST-PERSON ADVENTURE,RATED T FOR TEEN,6.1,66,XBOX ONE
THE INCREDIBLE HULK,2008-06-05,EDGE OF REALITY,SEGA,OPEN-WORLD ACTION,RATED T FOR TEEN,6.5,19,PLAYSTATION 2
GRETZKY NHL 2005,2004-11-09,PAGE 44 STUDIOS,SCEA,HOCKEY SIM,RATED E FOR EVERYONE,0.0,0,PLAYSTATION 2
VALHALLA KNIGHTS 2,2008-10-01,K2,XSEED GAMES,ACTION RPG,RATED E +10 FOR EVERYONE +10,5.3,8,PSP
NO HEROES ALLOWED!,2010-11-01,ACQUIRE,SCEA,STRATEGY,RATED E +10 FOR EVERYONE +10,7.7,19,PSP
DRIVER '76,2007-05-08,SUMO DIGITAL,UBISOFT,AUTO RACING,RATED M FOR MATURE,7.1,29,PSP
TECMO CLASSIC ARCADE,2005-09-14,TECMO,TECMO,COMPILATION,RATED E FOR EVERYONE,0.0,0,XBOX
BERSERK AND THE BAND OF THE HAWK,2017-02-21,OMEGA FORCE,KOEI TECMO GAMES,3D BEAT-'EM-UP,,7.5,119,PLAYSTATION VITA
THE MASTERPLAN,2015-06-04,SHARK PUNCH,SHARK PUNCH,STRATEGY,,7.3,24,PC
LEFT 4 DEAD 2,2009-11-17,VALVE SOFTWARE,ELECTRONIC ARTS,TACTICAL FPS,RATED M FOR MATURE,8.2,598,PC
IDARB,2015-01-30,OTHER OCEAN INTERACTIVE,OTHER OCEAN INTERACTIVE,PARTY,RATED E FOR EVERYONE,6.9,91,XBOX ONE
ENTER THE MATRIX,2003-05-14,SHINY ENTERTAINMENT,INFOGRAMES,LINEAR ACTION ADVENTURE,RATED T FOR TEEN,8.2,14,XBOX
JOJO'S BIZARRE ADVENTURE ALLSTAR BATTLE R,2022-09-02,CYBERCONNECT2,BANDAI NAMCO GAMES,3D FIGHTING,RATED T FOR TEEN,7.7,37,PLAYSTATION 5
DE BLOB 2,2011-02-22,BLUE TONGUE ENTERTAINMENT,THQ,3D PLATFORMER,RATED E +10 FOR EVERYONE +10,7.3,28,WII
TOM CLANCY'S GHOST RECON ADVANCED WARFIGHTER,2006-03-09,UBISOFT PARIS,UBISOFT,TACTICAL FPS,RATED T FOR TEEN,7.5,112,PC
POKEMON MYSTERY DUNGEON RED RESCUE TEAM,2006-09-18,CHUNSOFT,NINTENDO,ROGUELIKE,RATED E FOR EVERYONE,8.0,163,GAME BOY ADVANCE
DERACINE,2018-11-06,FROM SOFTWARE,SONY INTERACTIVE ENTERTAINMENT,ADVENTURE,RATED T FOR TEEN,7.7,88,PLAYSTATION 4
THE WHISPERED WORLD,2010-04-26,DAEDALIC ENTERTAINMENT,VIVA MEDIA,POINT-AND-CLICK,RATED E FOR EVERYONE,7.2,91,PC
NFL GAMEDAY 2003,2002-08-12,989 SPORTS,SCEA,FOOTBALL SIM,RATED E FOR EVERYONE,0.0,0,PLAYSTATION 2
WE ARE OFK,2022-08-18,TEAM OFK,TEAM OFK,ADVENTURE,RATED M FOR MATURE,3.3,15,PC
METAL GEAR ACID 2,2006-03-21,KOJIMA PRODUCTIONS,KONAMI,CARD BATTLE,RATED M FOR MATURE,8.1,30,PSP
MARCH OF THE PENGUINS,2006-11-27,SKYWORKS TECHNOLOGIES,DSI GAMES,ACTION PUZZLE,RATED E FOR EVERYONE,2.0,5,GAME BOY ADVANCE
CHIME SUPER DELUXE,2011-03-29,ZOE MODE,ZOE MODE,STACKING PUZZLE,RATED E FOR EVERYONE,8.0,16,PLAYSTATION 3
HEY YOU PIKACHU!,2000-11-06,AMBRELLA,NINTENDO,VIRTUAL PET,RATED E FOR EVERYONE,5.5,28,NINTENDO 64
PGA TOUR 2K23,2022-10-11,TAKE-TWO INTERACTIVE,2K GAMES,GOLF SIM,RATED E FOR EVERYONE,4.4,28,PLAYSTATION 5
STREET FIGHTER X MEGA MAN,2012-12-17,CAPCOM,CAPCOM,2D PLATFORMER,,7.8,61,PC
X3 REUNION,2005-11-10,EGOSOFT,ENLIGHT SOFTWARE,SPACE COMBAT SIM,RATED T FOR TEEN,7.3,57,PC
A WAY OUT,2018-03-23,HAZELIGHT,ELECTRONIC ARTS,LINEAR ACTION ADVENTURE,RATED M FOR MATURE,7.9,1118,PC
POOL PARADISE,2004-06-28,AWESOME DEVELOPMENTS,IGNITION ENTERTAINMENT,BILLIARDS,RATED E FOR EVERYONE,0.0,0,PC
RECKLESS RACING,2010-10-21,ELECTRONIC ARTS,ELECTRONIC ARTS,AUTO RACING SIM,,0.0,0,IOS (IPHONE/IPAD)
KIRBY STAR ALLIES,2018-03-16,HAL LABS,NINTENDO,2D PLATFORMER,RATED E +10 FOR EVERYONE +10,7.4,580,NINTENDO SWITCH
PEGGLE,2009-03-11,POPCAP,POPCAP,ACTION PUZZLE,RATED E FOR EVERYONE,7.5,84,XBOX 360
MICROSOFT FLIGHT SIMULATOR X,2006-10-17,MICROSOFT GAME STUDIOS,MICROSOFT GAME STUDIOS,AIRCRAFT SIM,RATED E FOR EVERYONE,7.4,117,PC
STAR WARS BATTLEFRONT ELITE SQUADRON,2009-11-03,SAVAGE ENTERTAINMENT,LUCASARTS,THIRD PERSON SHOOTER,RATED T FOR TEEN,7.8,55,PSP
SHINOBI,2011-11-15,GRIPTONITE GAMES,SEGA,2D PLATFORMER,RATED T FOR TEEN,7.3,38,3DS
SHADOW OF ROME,2005-02-08,CAPCOM,CAPCOM,ACTION ADVENTURE,RATED M FOR MATURE,8.8,77,PLAYSTATION 2
ICE AGE SCRAT'S NUTTY ADVENTURE,2019-10-18,BLUE SKY STUDIOS,OUTRIGHT GAMES,ACTION ADVENTURE,RATED E FOR EVERYONE,5.1,23,XBOX ONE
ASTERIX & OBELIX XXL 3 THE CRYSTAL MENHIR,2021-01-26,OSOME STUDIO,MICROIDS,LINEAR ACTION ADVENTURE,RATED E +10 FOR EVERYONE +10,5.1,17,PLAYSTATION 4
RISE OF THE TRIAD,2013-07-31,INTERCEPTOR,APOGEE GAMES,FPS,RATED M FOR MATURE,6.6,238,PC
GENESIS NOIR,2021-03-26,FERAL CAT DEN,FELLOW TRAVELLER,POINT-AND-CLICK,,6.1,37,PC
APOCALIPSIS HARRY AT THE END OF THE WORLD,2018-02-28,PUNCH PUNK GAMES,KLABATER,POINT-AND-CLICK,,6.8,11,PC
TESLA EFFECT A TEX MURPHY ADVENTURE,2014-05-07,BIG FINISH GAMES,ATLUS,ADVENTURE,,8.5,182,PC
SPELLFORCE 3 SOUL HARVEST,2019-05-28,GRIMLORE GAMES,THQ NORDIC,REAL-TIME TACTICS,,8.5,51,PC
AFTERFALL INSANITY,2011-11-25,NICOLAS INTOXICATE,NICOLAS INTOXICATE,SURVIVAL,,5.8,152,PC
FISH OUT OF WATER,2013-04-18,HALFBRICK STUDIOS,HALFBRICK STUDIOS,ACTION,,0.0,0,IOS (IPHONE/IPAD)
ARSLAN THE WARRIORS OF LEGEND,2016-02-09,OMEGA FORCE,KOEI TECMO GAMES,3D BEAT-'EM-UP,RATED T FOR TEEN,7.0,41,PLAYSTATION 4
CASTLE CRASHERS REMASTERED,2015-09-09,THE BEHEMOTH,THE BEHEMOTH,2D BEAT-'EM-UP,RATED T FOR TEEN,8.2,83,XBOX ONE
BOB HELP THEM,2021-03-11,NO GRAVITY GAMES,NO GRAVITY GAMES,VIRTUAL LIFE,,0.0,0,NINTENDO SWITCH
GEARS OF WAR 2 ALL FRONTS COLLECTION,2009-07-28,EPIC GAMES,MICROSOFT GAME STUDIOS,THIRD PERSON SHOOTER,RATED M FOR MATURE,8.9,12,XBOX 360
WORLDWIDE SOCCER MANAGER 2005,2004-12-07,SPORTS INTERACTIVE,SEGA,SOCCER MANAGEMENT,RATED E FOR EVERYONE,5.2,9,PC
NOBY NOBY BOY,2009-02-19,BANDAI NAMCO GAMES,BANDAI NAMCO GAMES,ACTION,RATED E FOR EVERYONE,6.3,15,PLAYSTATION 3
FOREVER WORLDS  ENTER THE UNKNOWN,2004-04-05,HEXAGON ENTERTAINMENT,THE ADVENTURE COMPANY,FIRST-PERSON ADVENTURE,RATED E FOR EVERYONE,5.2,5,PC
INSECTICIDE EPISODE 1,2008-03-11,CREAT STUDIOS,GAMECOCK MEDIA GROUP,ACTION ADVENTURE,RATED E +10 FOR EVERYONE +10,0.0,0,DS
SAMURAI WARRIORS,2004-05-06,OMEGA FORCE,KOEI,3D BEAT-'EM-UP,RATED T FOR TEEN,8.6,16,PLAYSTATION 2
SAM & MAX EPISODE 104 ABE LINCOLN MUST DIE!,2007-02-22,TELLTALE GAMES,TELLTALE GAMES,POINT-AND-CLICK,,7.0,20,PC
ROCK RUNNERS,2013-02-14,,,ACTION,,0.0,0,IOS (IPHONE/IPAD)
KAIJU WARS,2022-04-28,FOOLISH MORTALS GAMES,FOOLISH MORTALS GAMES,TURN-BASED TACTICS,,7.3,0,PC
LOST IN BLUE SHIPWRECKED,2008-09-23,HUDSON SOFT,KONAMI,ADVENTURE,RATED E +10 FOR EVERYONE +10,6.5,0,WII
VACCINE,2017-02-21,RAINY NIGHT CREATIONS,RAINY NIGHT CREATIONS,SURVIVAL,RATED M FOR MATURE,0.0,0,WII U
METROID PRIME 3 CORRUPTION,2007-08-27,RETRO STUDIOS,NINTENDO,FPS,RATED T FOR TEEN,8.7,460,WII
MORTAL KOMBAT 1,2023-09-19,NETHERREALM STUDIOS,WARNER BROS. GAMES,2D FIGHTING,RATED M FOR MATURE,7.1,1053,PLAYSTATION 5
SHOOT MANY ROBOTS,2012-03-14,DEMIURGE STUDIOS,UBISOFT,ACTION,RATED M FOR MATURE,6.8,41,XBOX 360
BLEK,2013-12-03,KUNABI BROTHER GMBH,KUNABI BROTHER GMBH,PUZZLE,,6.6,10,IOS (IPHONE/IPAD)
TINY METAL,2017-12-21,AREA35,AREA35,TURN-BASED TACTICS,RATED E +10 FOR EVERYONE +10,4.3,15,NINTENDO SWITCH
BATTLEFIELD BAD COMPANY 2 VIETNAM,2010-12-21,EA DICE,EA GAMES,FPS,RATED M FOR MATURE,8.1,113,PLAYSTATION 3
MADWORLD,2009-03-10,PLATINUMGAMES,SEGA,3D BEAT-'EM-UP,RATED M FOR MATURE,8.3,135,WII
THE DARK EYE  BOOK OF HEROES,2020-06-09,RANDOM POTION OY,WILD RIVER GAMES,RPG,,2.2,6,PC
TRIALS OF MANA,2020-04-24,XEEN,SQUARE ENIX,ACTION RPG,RATED T FOR TEEN,7.7,151,NINTENDO SWITCH
THE LEGEND OF ZELDA TWILIGHT PRINCESS,2006-11-19,NINTENDO,NINTENDO,OPEN-WORLD ACTION,RATED T FOR TEEN,8.9,1815,WII
THE LONGING,2020-03-05,STUDIO SEUFZ,STUDIO SEUFZ,ADVENTURE,,7.9,33,PC
EAGLE EYE GOLF,2006-10-10,NIPPON TELENET,AKSYS GAMES,GOLF SIM,RATED E +10 FOR EVERYONE +10,0.0,0,PLAYSTATION 2
ALTDEUS BEYOND CHRONOS,2020-12-04,MYDEAREST,MYDEAREST,VISUAL NOVEL,,8.5,10,PC
YUPPIE PSYCHO,2019-04-25,BAROQUE DECAY,ANOTHER INDIE,ACTION ADVENTURE,,8.3,68,PC
EOE EVE OF EXTINCTION,2002-02-26,YUKE'S,EIDOS INTERACTIVE,ACTION ADVENTURE,RATED T FOR TEEN,7.7,6,PLAYSTATION 2
NHL 15,2014-09-09,EA SPORTS,ELECTRONIC ARTS,HOCKEY SIM,RATED E +10 FOR EVERYONE +10,3.7,319,XBOX ONE
ZWEI THE ILVARD INSURRECTION,2017-10-31,FALCOM,XSEED GAMES,ACTION RPG,,8.2,12,PC
SNIPER ELITE VR,2021-07-08,COATSINK SOFTWARE,REBELLION,LIGHT GUN,,7.5,10,PC
CHAMPIONS OF NORRATH,2004-02-10,SNOWBLIND STUDIOS,SONY ONLINE ENTERTAINMENT,ACTION RPG,RATED T FOR TEEN,8.4,56,PLAYSTATION 2
DYNAMOKID TOUCH,2010-05-04,ORANGEPIXEL,ORANGEPIXEL,ACTION,,0.0,0,IOS (IPHONE/IPAD)
TECH SUPPORT ERROR UNKNOWN,2019-02-27,DRAGON SLUMBER,DRAGON SLUMBER,ADVENTURE,,5.8,9,PC
JUNK JACK X,2013-08-29,PIXBITS SRL,PIXBITS SRL,SANDBOX,,6.3,8,IOS (IPHONE/IPAD)
PATAPON,2008-02-26,SCE JAPAN STUDIO,SCEA,RHYTHM,RATED E FOR EVERYONE,8.6,117,PSP
FAR CRY 2,2008-10-21,UBISOFT MONTREAL,UBISOFT,FPS,RATED M FOR MATURE,6.6,280,PC
TEMPEST 4000,2018-07-17,LLAMASOFT,ATARI SA,TOP-DOWN SHOOT-'EM-UP,RATED E FOR EVERYONE,5.3,16,PC
PROFESSOR HEINZ WOLFF'S GRAVITY,2009-04-06,DEEP SILVER,DEEP SILVER,ACTION PUZZLE,RATED E FOR EVERYONE,0.0,0,WII
STAR WARS TRENCH RUN,2009-11-17,INFRARED5,THQ WIRELESS,SPACE COMBAT SIM,,0.0,0,IOS (IPHONE/IPAD)
RACING GEARS ADVANCE,2005-02-08,"ORBITAL MEDIA, INC.","ORBITAL MEDIA, INC.",AUTO RACING,RATED E FOR EVERYONE,7.5,38,GAME BOY ADVANCE
BEATDOWN!,2012-11-15,RAVENOUS GAMES,RAVENOUS GAMES,ACTION,,0.0,0,IOS (IPHONE/IPAD)
AMONG US VR,2022-11-10,SCHELL GAMES,INNERSLOTH,SURVIVAL,,7.5,8,PLAYSTATION 4
